epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,270.121,0.67676,0.55537,1.15946,0.88496,0.89693,0.91722,0.70469,0.9171,0.63128,1.47381,0.000742625,0.000742625,0.000742625
43,276.459,0.6713,0.53433,1.16689,0.89589,0.89861,0.91202,0.70482,0.92125,0.62378,1.49366,0.00073025,0.00073025,0.00073025
44,282.76,0.67645,0.53511,1.16868,0.88038,0.89861,0.93088,0.72033,0.8931,0.5908,1.4073,0.000717875,0.000717875,0.000717875
45,289.064,0.65278,0.53547,1.14335,0.87171,0.86319,0.8897,0.7316,0.82868,0.65857,1.38148,0.0007055,0.0007055,0.0007055
46,295.38,0.66044,0.50682,1.14178,0.86378,0.90664,0.90971,0.70838,0.821,0.58781,1.35644,0.000693125,0.000693125,0.000693125
47,301.664,0.63045,0.49008,1.12436,0.88573,0.89977,0.9298,0.73956,0.85701,0.56675,1.4195,0.00068075,0.00068075,0.00068075
48,307.966,0.62967,0.47612,1.12809,0.91553,0.88723,0.91989,0.72673,0.80144,0.55736,1.35914,0.000668375,0.000668375,0.000668375
49,314.265,0.64847,0.50019,1.13793,0.90123,0.89486,0.91248,0.71755,0.8565,0.55942,1.40251,0.000656,0.000656,0.000656
50,320.506,0.61133,0.48909,1.12326,0.90657,0.85408,0.90198,0.71302,0.91514,0.64109,1.40325,0.000643625,0.000643625,0.000643625
51,326.808,0.62364,0.49374,1.10991,0.9246,0.8755,0.91731,0.70986,0.92931,0.62438,1.43968,0.00063125,0.00063125,0.00063125
52,333.118,0.63174,0.48706,1.13357,0.90974,0.9036,0.92263,0.73985,0.87499,0.58155,1.41956,0.000618875,0.000618875,0.000618875
53,339.407,0.60982,0.47857,1.11085,0.89518,0.91674,0.92175,0.73739,0.86096,0.5281,1.43554,0.0006065,0.0006065,0.0006065
54,345.766,0.60388,0.48201,1.12551,0.89974,0.90197,0.92715,0.74346,0.81216,0.59952,1.3598,0.000594125,0.000594125,0.000594125
55,352.103,0.61611,0.48069,1.123,0.87091,0.89293,0.94915,0.7342,0.8098,0.63419,1.33846,0.00058175,0.00058175,0.00058175
56,358.406,0.613,0.46519,1.13553,0.8396,0.91477,0.95202,0.74419,0.84695,0.57591,1.38584,0.000569375,0.000569375,0.000569375
57,364.751,0.61099,0.49182,1.11615,0.90055,0.87894,0.93524,0.75738,0.86343,0.57367,1.37701,0.000557,0.000557,0.000557
