epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22335,0.88191,2.62088,1.36189,0.98203,0.2762,0.75314,0.56673,0.78569,2.54916,1.46237,0.0004,0.0004,0.0004
2,17.9377,0.94814,1.62576,1.37987,0.71637,0.65451,0.80742,0.59193,0.91802,1.78653,1.60336,0.000804456,0.000804456,0.000804456
3,24.3728,0.93491,1.53764,1.38818,0.71283,0.78147,0.86898,0.60044,0.94109,1.88268,1.61839,0.00120075,0.00120075,0.00120075
4,31.0092,0.97888,1.44157,1.40171,0.71879,0.7378,0.80316,0.54338,0.96499,2.41489,1.74788,0.00121287,0.00121287,0.00121287
